CustomerLastName,CustomerFirstName,TrackName,AlbumTitle
Almeida,Roberto,Right Next Door to Hell,Use Your Illusion I
Almeida,Roberto,In The Evening,In Through The Out Door
Almeida,Roberto,Fool In The Rain,In Through The Out Door
Almeida,Roberto,Saudade Dos Aviões Da Panair (Conversando No Bar),Minas
Almeida,Roberto,Caso Você Queira Saber,Minas
Almeida,Roberto,Dance,Ace Of Spades
Almeida,Roberto,Aos Leões,Demorou...
Almeida,Roberto,Demorou!,Demorou...
Almeida,Roberto,Home Sweet Home,Motley Crue Greatest Hits
Almeida,Roberto,Intro,From The Muddy Banks Of The Wishkah [Live]
Almeida,Roberto,Scentless Apprentice,From The Muddy Banks Of The Wishkah [Live]
Almeida,Roberto,In Bloom,Nevermind
Almeida,Roberto,On A Plain,Nevermind
Almeida,Roberto,Mundaréu,Compositores
Almeida,Roberto,Nossa Gente (Avisa Là),Olodum
Almeida,Roberto,Revolta Olodum,Olodum
Almeida,Roberto,Vai Valer,Acústico MTV
Almeida,Roberto,Vai Passar,Minha Historia
Almeida,Roberto,Morena De Angola,Minha Historia
Almeida,Roberto,Meu Caro Amigo,Minha Historia
Almeida,Roberto,Mateus Enter,Afrociberdelia
Almeida,Roberto,Samba Do Lado,Afrociberdelia
Almeida,Roberto,Um Satélite Na Cabeça,Afrociberdelia
Almeida,Roberto,Amor De Muito,Afrociberdelia
Almeida,Roberto,Banditismo Por Uma Questa,Da Lama Ao Caos
Almeida,Roberto,Maracatu De Tiro Certeiro,Da Lama Ao Caos
Almeida,Roberto,Stir It Up (Live),Quanta Gente Veio Ver (Live)
Almeida,Roberto,Refavela (Live),Quanta Gente Veio Ver (Live)
Almeida,Roberto,Be Good Johnny,The Best Of Men At Work
Almeida,Roberto,Down by the Sea,The Best Of Men At Work
Almeida,Roberto,It's a Mistake,The Best Of Men At Work
Almeida,Roberto,Shakes and Ladders,The Best Of Men At Work
Almeida,Roberto,Eye,Rotten Apples: Greatest Hits
Almeida,Roberto,Stand Inside Your Love,Rotten Apples: Greatest Hits
Almeida,Roberto,Flower,A-Sides
